merchant,category,amt,city,state,lat,long,city_pop,job,merch_lat,merch_long,is_fraud,transaction_year,transaction_month,transaction_day,transaction_hour,age
"""Stokes, Christiansen and Sipes""",grocery_net,14.37,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.654142,-164.722603,1,2019,1,4,0,80
Predovic Inc,shopping_net,966.11,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.468863,-165.473127,1,2019,1,4,15,80
Wisozk and Sons,misc_pos,49.61,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.347667,-165.914542,1,2019,1,4,22,80
Murray-Smitham,grocery_pos,295.26,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",64.445035,-166.080207,1,2019,1,4,23,80
Friesen Lt,health_fitness,18.17,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.447094,-165.446843,1,2019,1,4,23,80
"""Raynor, Reinger and Hagenes""",gas_transport,20.45,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",64.088838,-165.104078,1,2019,1,5,3,80
Heller-Langosh,gas_transport,18.19,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",63.917785,-165.827621,1,2019,1,5,3,80
Padberg-Welch,grocery_pos,367.29,Browning,MO,40.029,-93.1607,602,Cytogeneticist,39.167065,-93.705245,1,2019,1,5,11,65
McGlynn-Heathcote,misc_net,768.15,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",64.623325,-166.403973,1,2019,1,5,18,80
Dooley-Thompson,misc_net,849.49,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.266065,-164.865352,1,2019,1,5,22,80
"""Gottlieb, Considine and Schultz""",shopping_net,1177.79,Browning,MO,40.029,-93.1607,602,Cytogeneticist,39.288305,-92.476947,1,2019,1,5,22,65
"""Moen, Reinger and Murphy""",grocery_pos,307.09,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",64.909145,-164.712087,1,2019,1,5,22,80
"""Hauck, Dietrich and Funk""",kids_pets,4.58,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.052892,-166.067029,1,2019,1,5,22,80
Pouros-Haag,shopping_pos,730.78,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.233866,-166.550779,1,2019,1,5,22,80
Goyette Inc,shopping_net,1006.4,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.220316,-165.005725,1,2019,1,5,22,80
"""Baumbach, Strosin and Nicolas""",shopping_pos,830.72,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",65.710538,-165.986117,1,2019,1,5,22,80
Pacocha-O'Reilly,grocery_pos,311.92,Wales,AK,64.7556,-165.6723,145,"""Administrator, education""",64.79501,-165.670735,1,2019,1,5,23,80
Barrows PLC,shopping_pos,762.93,Browning,MO,40.029,-93.1607,602,Cytogeneticist,40.205262,-93.499211,1,2019,1,5,23,65
Fisher-Schowalte,shopping_net,855.88,Browning,MO,40.029,-93.1607,602,Cytogeneticist,40.786018,-93.301092,1,2019,1,6,18,65
Gleason-Macejkovic,shopping_net,909.29,Browning,MO,40.029,-93.1607,602,Cytogeneticist,40.977312,-93.55098,1,2019,1,6,23,65
Kutch LLC,gas_transport,7.04,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",40.287778,-98.570998,1,2019,1,12,1,45
Kihn Inc,shopping_pos,644.4,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",40.834742,-99.895337,1,2019,1,12,15,45
Kris-Weimann,misc_net,784.77,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",40.341318,-99.045651,1,2019,1,12,23,45
"""Kihn, Abernathy and Douglas""",shopping_net,1116.8,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.192006,-99.230584,1,2019,1,12,23,45
Kiehn-Emmerich,grocery_pos,320.6,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.867565,-99.096279,1,2019,1,13,0,45
"""Osinski, Ledner and Leuschke""",grocery_pos,276.8,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.700959,-98.207349,1,2019,1,13,1,45
Vandervort-Funk,grocery_pos,336.2,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.965421,-98.334757,1,2019,1,13,2,45
Terry-Huel,shopping_net,994.92,San Jose,CA,37.3304,-121.7913,973849,Science writer,38.075623,-122.14827,1,2019,1,13,21,64
Volkman-Predovic,shopping_net,1062.95,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.942402,-98.005584,1,2019,1,13,22,45
"""Roob, Conn and Tremblay""",shopping_pos,770.94,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.569284,-98.87645,1,2019,1,13,22,45
"""Tillman, Fritsch and Schmitt""",misc_net,816.89,San Jose,CA,37.3304,-121.7913,973849,Science writer,37.301768,-122.469759,1,2019,1,13,23,64
Larson-Moen,entertainment,510.59,Ravenna,NE,41.0233,-98.9041,2202,"""Solicitor, Scotland""",41.213009,-98.097519,1,2019,1,13,23,45
